SWN Append,KEYWORD,L,S,ADJ DEG,X,Z,QUADRANT,Sextant,Sector,Design ID (WindChill)
es9-dt288,MULTIPOLE,0,992.38492,93.07929394,33.22916419,-617.6927197,NW,9,9,
es9-cm288.2,DRIFT,0.258400373,992.38492,93.07929394,33.22916419,-617.6927197,NW,9,9,
es9-dt288,DRIFT,0.258400373,992.38492,93.07929394,33.22916419,-617.6927197,NW,9,9,
es9-cm285,MULTIPOLE,0,995.111,93.33165238,35.94381171,-617.4434843,NW,9,9,
es9-dv285,MULTIPOLE,0,995.111,93.33165238,35.94381171,-617.4434843,NW,9,9,
es9-cm285,SBEND,2.726077105,995.111,93.33165238,35.94381171,-617.4434843,NW,9,9,
es9-dv285,SBEND,2.726077105,995.111,93.33165238,35.94381171,-617.4434843,NW,9,9,
es9-dt284.1,DRIFT,0.5,995.611,93.37793848,36.4414733,-617.3951837,NW,9,9,
es9-sx284.1,SEXTUPOLE,0.24,995.851,93.40015682,36.68035086,-617.3719995,NW,9,9,
es9-dt284.2,DRIFT,0.104,995.955,93.40978496,36.78386447,-617.3619529,NW,9,9,
es9-sx284.2,SEXTUPOLE,0.24,996.195,93.43200422,37.02274204,-617.3387687,NW,9,9,
es9-dt284.3,DRIFT,0.156,996.351,93.44644708,37.17801245,-617.3236989,NW,9,9,
es9-q283,QUADRUPOLE,0.5,996.726,93.48116657,37.55125865,-617.2874735,NW,9,9,
es9-dt283.1,DRIFT,0.064,996.915,93.49866578,37.73937473,-617.2692159,NW,9,9,
es9-ks283,HKICKER,0.2,997.115,93.51718387,37.93843936,-617.2498957,NW,9,9,
es9-cm283,MULTIPOLE,0,997.40921,93.54442624,38.23127956,-617.2214741,NW,9,9,
es9-dt283.2,MULTIPOLE,0,997.40921,93.54442624,38.23127956,-617.2214741,NW,9,9,
es9-cm283,DRIFT,0.294216192,997.40921,93.54442624,38.23127956,-617.2214741,NW,9,9,
es9-dt283.2,DRIFT,0.294216192,997.40921,93.54442624,38.23127956,-617.2214741,NW,9,9,
es9-cm280.1,MULTIPOLE,0,1000.13529,93.7968389,40.94318979,-616.9440351,NW,9,9,
es9-dv280,MULTIPOLE,0,1000.13529,93.7968389,40.94318979,-616.9440351,NW,9,9,
es9-cm280.1,SBEND,2.726077105,1000.13529,93.7968389,40.94318979,-616.9440351,NW,9,9,
es9-dv280,SBEND,2.726077105,1000.13529,93.7968389,40.94318979,-616.9440351,NW,9,9,
es9-cm280.2,MULTIPOLE,0,1000.39369,93.82076435,41.20010831,-616.9164014,NW,9,9,
es9-dt280,MULTIPOLE,0,1000.39369,93.82076435,41.20010831,-616.9164014,NW,9,9,
es9-cm280.2,DRIFT,0.258400373,1000.39369,93.82076435,41.20010831,-616.9164014,NW,9,9,
es9-dt280,DRIFT,0.258400373,1000.39369,93.82076435,41.20010831,-616.9164014,NW,9,9,
es9-cm279,MULTIPOLE,0,1001.28509,93.9033002,42.08623312,-616.8195676,NW,9,9,
es9-dv279,MULTIPOLE,0,1001.28509,93.9033002,42.08623312,-616.8195676,NW,9,9,
es9-cm279,SBEND,0.891400429,1001.28509,93.9033002,42.08623312,-616.8195676,NW,9,9,
es9-dv279,SBEND,0.891400429,1001.28509,93.9033002,42.08623312,-616.8195676,NW,9,9,
es9-cm278,MULTIPOLE,0,1001.54349,93.92722596,42.34305624,-616.7910607,NW,9,9,
es9-dt278,MULTIPOLE,0,1001.54349,93.92722596,42.34305624,-616.7910607,NW,9,9,
es9-cm278,DRIFT,0.258400373,1001.54349,93.92722596,42.34305624,-616.7910607,NW,9,9,
es9-dt278,DRIFT,0.258400373,1001.54349,93.92722596,42.34305624,-616.7910607,NW,9,9,
es9-cm276,MULTIPOLE,0,1004.26957,94.17963411,45.05088176,-616.4762427,NW,9,9,
es9-dv276,MULTIPOLE,0,1004.26957,94.17963411,45.05088176,-616.4762427,NW,9,9,
es9-cm276,SBEND,2.726077105,1004.26957,94.17963411,45.05088176,-616.4762427,NW,9,9,
es9-dv276,SBEND,2.726077105,1004.26957,94.17963411,45.05088176,-616.4762427,NW,9,9,
es9-dt275,DRIFT,0.507,1004.77657,94.22657748,45.55417847,-616.4150755,NW,9,9,
es9-sx275,SEXTUPOLE,0.57,1005.34657,94.2793584,46.12001501,-616.3463077,NW,9,9,
es9-dt274.1,DRIFT,0.163,1005.50957,94.29445272,46.2818244,-616.3266425,NW,9,9,
es9-q274,QUADRUPOLE,0.5,1005.88457,94.3291803,46.65408528,-616.2814005,NW,9,9,
es9-dt274.2,DRIFT,0.064,1006.07357,94.34668373,46.84170476,-616.2585986,NW,9,9,
es9-ks274,VKICKER,0.2,1006.27357,94.3652064,47.0402439,-616.2344695,NW,9,9,
es9-cm273,MULTIPOLE,0,1006.56779,94.39245573,47.33231104,-616.1989737,NW,9,9,
es9-dt273,MULTIPOLE,0,1006.56779,94.39245573,47.33231104,-616.1989737,NW,9,9,
es9-cm273,DRIFT,0.294216192,1006.56779,94.39245573,47.33231104,-616.1989737,NW,9,9,
es9-dt273,DRIFT,0.294216192,1006.56779,94.39245573,47.33231104,-616.1989737,NW,9,9,
es9-cm271,MULTIPOLE,0,1009.29386,94.64493201,50.03671796,-615.8560266,NW,9,9,
es9-dv271,MULTIPOLE,0,1009.29386,94.64493201,50.03671796,-615.8560266,NW,9,9,
es9-cm271,SBEND,2.726077105,1009.29386,94.64493201,50.03671796,-615.8560266,NW,9,9,
es9-dv271,SBEND,2.726077105,1009.29386,94.64493201,50.03671796,-615.8560266,NW,9,9,
es9-cm270.1,MULTIPOLE,0,1009.55226,94.66886341,50.29289299,-615.8221872,NW,9,9,
es9-dt270,MULTIPOLE,0,1009.55226,94.66886341,50.29289299,-615.8221872,NW,9,9,
es9-cm270.1,DRIFT,0.258400373,1009.55226,94.66886341,50.29289299,-615.8221872,NW,9,9,
es9-dt270,DRIFT,0.258400373,1009.55226,94.66886341,50.29289299,-615.8221872,NW,9,9,
es9-cm270.2,MULTIPOLE,0,1010.44366,94.75141989,51.17641661,-615.7039502,NW,9,9,
es9-dv270,MULTIPOLE,0,1010.44366,94.75141989,51.17641661,-615.7039502,NW,9,9,
es9-cm270.2,SBEND,0.891400429,1010.44366,94.75141989,51.17641661,-615.7039502,NW,9,9,
es9-dv270,SBEND,0.891400429,1010.44366,94.75141989,51.17641661,-615.7039502,NW,9,9,
es9-cm269,MULTIPOLE,0,1010.70206,94.77535168,51.43247514,-615.6692403,NW,9,9,
es9-dt269,MULTIPOLE,0,1010.70206,94.77535168,51.43247514,-615.6692403,NW,9,9,
es9-cm269,DRIFT,0.258400373,1010.70206,94.77535168,51.43247514,-615.6692403,NW,9,9,
es9-dt269,DRIFT,0.258400373,1010.70206,94.77535168,51.43247514,-615.6692403,NW,9,9,
es9-cm267,MULTIPOLE,0,1013.42814,95.02782246,54.13189452,-615.2890239,NW,9,9,
es9-dv267,MULTIPOLE,0,1013.42814,95.02782246,54.13189452,-615.2890239,NW,9,9,
es9-cm267,SBEND,2.726077105,1013.42814,95.02782246,54.13189452,-615.2890239,NW,9,9,
es9-dv267,SBEND,2.726077105,1013.42814,95.02782246,54.13189452,-615.2890239,NW,9,9,
es9-dt266.1,DRIFT,0.5,1013.92814,95.07412918,54.62663823,-615.2167144,NW,9,9,
es9-sx266,SEXTUPOLE,0.24,1014.16814,95.09635792,54.86411521,-615.1820059,NW,9,9,
es9-dt266.2,DRIFT,0.104,1014.27214,95.10599067,54.9670219,-615.1669655,NW,9,9,
es9-sx265,SEXTUPOLE,0.24,1014.51214,95.12822079,55.20449888,-615.1322569,NW,9,9,
es9-dt265.1,DRIFT,0.156,1014.66814,95.14267089,55.35885891,-615.1096964,NW,9,9,
es9-q265,QUADRUPOLE,0.5,1015.04314,95.17740834,55.72991669,-615.0554642,NW,9,9,
es9-dt265.2,DRIFT,0.064,1015.23214,95.1949169,55.91692981,-615.0281312,NW,9,9,
es9-ks265,HKICKER,0.2,1015.43214,95.21344511,56.1148273,-614.9992074,NW,9,9,
es9-cm264,MULTIPOLE,0,1015.72636,95.24070278,56.40595052,-614.9566582,NW,9,9,
es9-dt264,MULTIPOLE,0,1015.72636,95.24070278,56.40595052,-614.9566582,NW,9,9,
es9-cm264,DRIFT,0.294216192,1015.72636,95.24070278,56.40595052,-614.9566582,NW,9,9,
es9-dt264,DRIFT,0.294216192,1015.72636,95.24070278,56.40595052,-614.9566582,NW,9,9,
es9-cm262,MULTIPOLE,0,1018.45243,95.49325566,59.10127196,-614.5484036,NW,9,9,
es9-dv262,MULTIPOLE,0,1018.45243,95.49325566,59.10127196,-614.5484036,NW,9,9,
es9-cm262,SBEND,2.726077105,1018.45243,95.49325566,59.10127196,-614.5484036,NW,9,9,
es9-dv262,SBEND,2.726077105,1018.45243,95.49325566,59.10127196,-614.5484036,NW,9,9,
es9-cm261,MULTIPOLE,0,1018.71083,95.51719424,59.35655363,-614.5083784,NW,9,9,
es9-dt261,MULTIPOLE,0,1018.71083,95.51719424,59.35655363,-614.5083784,NW,9,9,
es9-cm261,DRIFT,0.258400373,1018.71083,95.51719424,59.35655363,-614.5083784,NW,9,9,
es9-dt261,DRIFT,0.258400373,1018.71083,95.51719424,59.35655363,-614.5083784,NW,9,9,
