Device abbr,atr_use,rhic_use,slot,ags_use,booster_use,linac_use,ebis_use,other,Description,Notes,New Device,EIC Lattice Keyword
dt,0,0,0,0,0,0,0,0,drift tube,,FALSE,DRIFT
dtl,0,0,0,0,0,1,1,0,Drift tube linac,,FALSE,EDRIFT
du,0,1,1,0,0,0,0,0,dummy slot,,FALSE,
dump,0,0,0,1,1,0,0,0,dump-bump backleg windings on main magnets,,FALSE,
dv,0,0,0,0,0,0,0,0,vertical bending dipole,,FALSE,
dxsplit,0,1,0,0,0,0,0,0,vacuum transition chamber from dx magnet to two beam lines,,FALSE,
ed,0,1,0,0,0,0,0,0,security gate for exit only,,FALSE,
ef,1,1,0,0,0,0,0,0,PASS tunnel exhaust fan,,FALSE,
el,0,1,0,0,0,0,0,0,alcove security escape hatch with ladder,,FALSE,
eld,0,1,0,0,0,0,0,0,electron detector for RHIC (with regard to electron cloud other vacuum problems),,FALSE,
epm,1,0,0,0,0,0,0,0,"external profile monitor (like an ipm, in an external beam line",,FALSE,
evt,1,1,0,0,0,0,0,0,event link (for FEC names),,FALSE,
ezl,0,0,0,0,0,0,0,0,einzel lens,,FALSE,
f,1,0,0,0,0,0,0,0,flag monitor,,FALSE,
fc,0,0,0,0,0,0,1,0,Faraday cup,,FALSE,
ffc,0,0,0,0,0,0,1,1,Fast Faraday Cup,,FALSE,
foil,1,0,0,0,0,0,0,0,stripping foil,,FALSE,
fp,0,0,0,0,0,1,0,0,Fore pump,,FALSE,
fv,1,0,0,0,0,0,0,0,fast valve,,FALSE,
fvs,1,0,0,0,0,0,0,0,fast valve sensor,,FALSE,
fw,0,1,0,0,0,0,0,0,flying wire,,FALSE,
gb,1,1,0,0,0,0,0,0,PASS gate box,,FALSE,
ge,1,1,0,0,0,0,0,0,entrance gate,,FALSE,
gi,1,1,0,0,0,0,0,0,internal gate,,FALSE,
grl,0,0,0,0,0,0,0,0,Gridded lens for the EBIS,,FALSE,
gs,1,1,0,0,0,0,0,0,sectional gate,,FALSE,
gun,0,0,0,0,0,0,0,0,gun (electron) for EBIS,,FALSE,
hlx,0,1,0,0,0,0,0,0,helical magnet,,FALSE,
hxd,0,0,0,0,0,0,0,0,16-pole electrostatic lens thingy for EBIS,,FALSE,
ic,0,0,0,0,1,0,0,0,ion chamber,,FALSE,
ig,0,0,0,1,1,0,0,0,ion gauge for vacuum,,FALSE,
inst,1,1,1,0,0,0,0,0,instrumentation slot,,FALSE,Instrument
int,0,1,1,0,0,0,0,0,generic interconnect slot,,FALSE,
ip,1,1,0,0,0,0,0,0,ion pump,,FALSE,
ipm,1,1,0,0,0,0,0,0,Ionization profile monitor,,FALSE,
jb,1,0,0,0,0,0,0,0,junction box,,FALSE,
ka,0,1,0,0,0,0,0,0,dipole kicker abort,,FALSE,
ke,1,0,0,1,1,0,0,0,extraction kicker,,FALSE,
kfbh,0,1,0,0,0,0,0,0,~10Hz orbit steering corrector in horizontal plane,,FALSE,
kfbh-bc,0,1,0,0,0,0,0,0,field compensation winding for stray field from 10Hz corrector in the blue ring (BY- cross talk),,FALSE,
kfbh-bs,0,1,0,0,0,0,0,0,stray field from 10Hz corrector in the adjacent blue ring (BY- cross talk),,FALSE,
kfbh-yc,0,1,0,0,0,0,0,0,field compensation winding for stray field from 10Hz corrector in the yellow ring (BY- cross talk),,FALSE,
kfbh-ys,0,1,0,0,0,0,0,0,stray field from 10Hz corrector in the adjacent yellow ring (BY- cross talk),,FALSE,
kfbv,0,1,0,0,0,0,0,0,~10Hz orbit steering corrector in vertical plane,,FALSE,
kgc,0,1,0,0,0,0,0,0,stripline kicker for gap cleaning,,FALSE,
ki,0,1,0,0,0,0,0,0,dipole kicker injection,,FALSE,
kql,0,1,0,0,0,0,0,0,stripline kicker for the tune loop,,FALSE,
kqm,0,1,0,0,0,0,0,0,stripline kicker for driving quadrupole moment,,FALSE,KQUAD
ks,0,1,1,0,0,0,0,0,slot for kicker magnet,,FALSE,
ksc,0,1,0,0,0,0,0,0,kicker for stochastic cooling,,FALSE,
ksch,0,1,0,0,0,0,0,0,horizontal Schottky kicker for stochastic cooling,,FALSE,
kscl,0,1,0,0,0,0,0,0,longitudinal Schottky kicker for stochastic cooling,,FALSE,
kscv,0,1,0,0,0,0,0,0,vertical Schottky kicker for stochastic cooling,,FALSE,
ktun,0,1,0,0,0,0,0,0,stripline kicker for tune meter (tune loop),,FALSE,
lamb,1,1,0,0,0,0,0,0,lambertson,,FALSE,
lm,1,1,0,0,0,0,0,0,beam loss monitor,,FALSE,
lum,0,1,0,0,0,0,0,0,luminescence monitor,,FALSE,
mark,1,1,0,0,0,0,0,0,marker,,FALSE,MARKER
md,0,1,0,0,0,0,0,0,monitored security door with no normal exit or entrance function (may include trench covers),,FALSE,
mir,0,0,0,0,0,0,0,0,mirror lens (presumably electrostatic),,FALSE,
mw,0,0,0,1,0,1,0,1,Multiwire/harp,,FALSE,
oct,0,1,0,0,0,0,0,0,octupole,,FALSE,
octd,0,1,0,0,0,0,0,0,"octupole buss name, defocusing polarity",,FALSE,
octf,0,1,0,0,0,0,0,0,"octupole buss name, focusing polariy",,FALSE,
octs,0,1,0,0,0,0,0,0,skew octupole,,FALSE,
p,1,0,0,0,0,0,0,0,verical pitching magnet in ATR,,FALSE,
pc,0,1,0,0,0,0,0,0,cold bore port,,FALSE,
pd,0,1,0,0,0,0,0,0,pin diode,,FALSE,
per,1,1,0,0,0,0,0,0,permit link (for FEC names),,FALSE,
pi,0,1,0,0,0,0,0,0,insulating vacuum port,,FALSE,
piv,0,0,0,0,0,0,1,0,pump isolation valve,,FALSE,
pjet,0,1,0,0,0,0,0,0,Polarized hydrogen jet polarimeter,,FALSE,
plat,0,0,0,0,0,0,0,0,HV platform,,FALSE,
pol,0,1,0,0,0,0,0,0,polarimeter,,FALSE,
ppa,0,1,0,0,0,0,0,0,partial pressure analyzer,,FALSE,
ppot,0,0,0,0,0,0,1,0,Pepper pot monitor,,FALSE,
pra,0,1,0,0,0,0,0,0,accelerating cavity port,,FALSE,
prs,0,1,0,0,0,0,0,0,storage cavity port,,FALSE,
ps,1,1,0,0,0,0,0,0,power supply (for FEC naming),,FALSE,
pw,0,1,0,0,0,0,0,0,warm bore port,,FALSE,
pwdmp,0,1,0,0,0,0,0,0,warm vacuum port at a beam dump,,FALSE,
pwka,0,1,0,0,0,0,0,0,warm vacuum port at an abort kicker section,,FALSE,
pwki,0,1,0,0,0,0,0,0,warm vacuum port at an injection kicker section,,FALSE,
pxc,0,0,0,0,1,0,0,0,pixel chamber,,FALSE,
q,1,1,0,0,0,0,0,0,quadrupole,,FALSE,QUADRUPOLE
